run_index,sample_index,label,bucket,lambda1,lambda2,phi0,phi1,exact_probability,exact_pred,chip,shots,compile,submitted,task_id,initial_status,result_status,hardware_probability,hardware_pred,probability_delta,counts_00,counts_01,counts_10,counts_11,qasm_path,error
1,308,1,confident,2.8587875366210938,1.2190934419631958,0.891863233953719,0.7394981528917969,0.976621529868752,1,Baihua,1024,True,True,2606302151225629841,Transpiling,Finished,0.9568188806809441,1,-0.01980264918780783,842,59,78,45,outputs\quafu_qpp_qnn_batch\run_20260630_215120\qasm\01_idx308_y1_confident_215122.qasm,
2,519,1,confident,2.836369514465332,1.23367440700531,0.8797823902369019,0.7539866170416558,0.9764341260170496,1,Baihua,1024,True,True,2606302151271836022,Transpiling,Finished,0.9583681327598641,1,-0.018065993257185498,863,42,78,41,outputs\quafu_qpp_qnn_batch\run_20260630_215120\qasm\02_idx519_y1_confident_215126.qasm,
3,903,1,borderline,1.5532490015029907,0.3666728436946869,0.1883218198423575,-0.1075147329455377,0.4963488776820635,0,Baihua,1024,True,True,2606302151315580931,Transpiling,Finished,0.6028560138734393,1,0.10650713619137586,353,128,398,145,outputs\quafu_qpp_qnn_batch\run_20260630_215120\qasm\03_idx903_y1_borderline_215131.qasm,
4,641,1,borderline,5.8799052238464355,0.9524775743484497,2.519912772663877,0.47457368262781546,0.5213464357318841,1,Baihua,1024,True,True,2606302151361917559,Transpiling,Finished,0.6130277642724637,1,0.09168132854057964,248,364,377,35,outputs\quafu_qpp_qnn_batch\run_20260630_215120\qasm\04_idx641_y1_borderline_215135.qasm,
5,462,0,confident,0.06929484009742737,0.0,-0.6113659573531768,-0.4718614229796379,0.03406853073407073,0,Baihua,1024,True,True,2606302151464242260,Transpiling,Finished,0.09171066435713573,0,0.05764213362306501,139,17,839,29,outputs\quafu_qpp_qnn_batch\run_20260630_215120\qasm\05_idx462_y0_confident_215145.qasm,
6,438,0,confident,0.04398983344435692,0.0,-0.6250025675993754,-0.4718614229796379,0.03408163803995633,0,Baihua,1024,True,True,2606302151569852025,Transpiling,Finished,0.0812245315287018,0,0.047142893488745466,133,6,862,23,outputs\quafu_qpp_qnn_batch\run_20260630_215120\qasm\06_idx438_y0_confident_215156.qasm,
7,1408,0,borderline,6.516662120819092,0.21108055114746094,2.863054576364661,-0.2621199559917313,0.5066415227197252,1,Baihua,1024,True,True,2606302152259036597,Transpiling,Finished,0.5842795648574608,1,0.07763804213773562,79,422,322,201,outputs\quafu_qpp_qnn_batch\run_20260630_215120\qasm\07_idx1408_y0_borderline_215225.qasm,
8,1264,0,borderline,1.844511866569519,0.4120425581932068,0.34528041007538707,-0.06243284158220582,0.5229010544593687,1,Baihua,1024,True,True,2606302152556718397,Transpiling,Finished,0.613671872629188,1,0.09077081816981925,378,92,395,159,outputs\quafu_qpp_qnn_batch\run_20260630_215120\qasm\08_idx1264_y0_borderline_215255.qasm,
