epoch,loss,train_pr_auc,val_pr_auc
1,1.0156112826532788,0.7696825967534917,0.7888162828383917
2,0.5554453697469499,0.853241160128637,0.8784170863082127
3,0.3872838301791085,0.9086873848683887,0.9289657646340401
4,0.3000212469034725,0.9344691912156061,0.9479380415094985
5,0.24960261045230758,0.9456296700477709,0.9485153311422763
6,0.21922636156280836,0.9514678809984719,0.9572289395170317
7,0.19801975476245084,0.9532826515490069,0.959856526652811
8,0.17993715591728687,0.9535386024552862,0.9606782232476627
9,0.17241507127053207,0.9542376581789028,0.961525049780221
10,0.16883455506629413,0.9546429326517376,0.9621804418726225
11,0.16343274526298046,0.9544928968018582,0.9623345004001299
12,0.16319930449955994,0.9545142612504297,0.9624704704523421
13,0.16186079548464882,0.9543614164287099,0.962180411590628
14,0.15584067120734188,0.9542175570253398,0.9620149170223075
15,0.15837355330586433,0.9541628423666675,0.9623101034563603
16,0.15983055325018036,0.9542808123451809,0.9626588448649079
17,0.15989781678136852,0.9540229865939992,0.9625190196272555
18,0.15510711694757143,0.9541434581484255,0.9625111572173756
19,0.15352743222481674,0.9543284576519558,0.9626238587910902
20,0.1560793835669756,0.9542472964732951,0.9626850300962279
21,0.15094588438255918,0.95425793031364,0.9625585727784481
22,0.14958066627797154,0.9543201202770036,0.9623969175395923
23,0.15205374742961592,0.9543240289513188,0.962240880146327
24,0.16226351695756117,0.9544074885942434,0.9620033243736404
25,0.14864219916570517,0.9545495014457683,0.9619574609571357
26,0.1607039181722535,0.9545654264030289,0.9619807003246409
27,0.15066866038574112,0.9545614030414348,0.9619659919338622
28,0.14862933309955728,0.9546292593071511,0.961918680220978
29,0.14918771468930775,0.9545831641002659,0.9617387013118099
30,0.15218619112339285,0.9546112121230361,0.9618298410152734
