model,training_seed,noise_seed,saltpepper_probability,threshold,trainable_parameters,train_samples,validation_samples,test_samples,accuracy,precision,recall,f1,pr_auc,tp,fp,fn,tn,clean_f1,f1_drop,f1_retention
TinyMLP h5 (lambda12),29,3001,0.08,0.5658007902903174,21,4500,1500,1500,0.29933333333333334,0.22205773501110287,1.0,0.3634161114476075,0.45151314319828206,300,1051,0,149,0.927536231884058,0.5641201204364505,0.3918079951544518
TinyMLP h5 (mu12),29,3001,0.08,0.47414915385743567,21,4500,1500,1500,0.22933333333333333,0.20523415977961432,0.9933333333333333,0.3401826484018265,0.19942947549908674,298,1154,2,46,0.8738461538461538,0.5336635054443273,0.3892935236992733
Schmidt-QPP QNN L2,29,1001,0.1,0.5482865324830994,25,4500,1500,1500,0.21533333333333332,0.20271186440677966,0.9966666666666667,0.3369014084507042,0.19564740924710022,299,1176,1,24,0.8738461538461538,0.5369447453954497,0.3855385836143622
TinyMLP h5 (lambda12),29,1001,0.1,0.5658007902903174,21,4500,1500,1500,0.24066666666666667,0.20766550522648083,0.9933333333333333,0.3435158501440922,0.35520035977242265,298,1137,2,63,0.927536231884058,0.5840203817399658,0.3703530259365994
TinyMLP h5 (mu12),29,1001,0.1,0.47414915385743567,21,4500,1500,1500,0.21533333333333332,0.20271186440677966,0.9966666666666667,0.3369014084507042,0.19564740924710022,299,1176,1,24,0.8738461538461538,0.5369447453954497,0.3855385836143622
Schmidt-QPP QNN L2,29,2003,0.1,0.5482865324830994,25,4500,1500,1500,0.218,0.20366598778004075,1.0,0.338409475465313,0.2083250721419329,300,1173,0,27,0.8738461538461538,0.5354366783808409,0.3872643645289674
TinyMLP h5 (lambda12),29,2003,0.1,0.5658007902903174,21,4500,1500,1500,0.24333333333333335,0.20905923344947736,1.0,0.345821325648415,0.3668744084437754,300,1135,0,65,0.927536231884058,0.581714906235643,0.3728386167146974
TinyMLP h5 (mu12),29,2003,0.1,0.47414915385743567,21,4500,1500,1500,0.218,0.20366598778004075,1.0,0.338409475465313,0.2083250721419329,300,1173,0,27,0.8738461538461538,0.5354366783808409,0.3872643645289674
Schmidt-QPP QNN L2,29,3001,0.1,0.5482865324830994,25,4500,1500,1500,0.21733333333333332,0.20352781546811397,1.0,0.3382187147688839,0.19059933317952038,300,1174,0,26,0.8738461538461538,0.53562743907727,0.38704606443622275
TinyMLP h5 (lambda12),29,3001,0.1,0.5658007902903174,21,4500,1500,1500,0.24733333333333332,0.2099370188943317,1.0,0.34702139965297857,0.3544565411971745,300,1129,0,71,0.927536231884058,0.5805148322310794,0.3741324465008675
TinyMLP h5 (mu12),29,3001,0.1,0.47414915385743567,21,4500,1500,1500,0.21733333333333332,0.20352781546811397,1.0,0.3382187147688839,0.19059933317952038,300,1174,0,26,0.8738461538461538,0.53562743907727,0.38704606443622275
Schmidt-QPP QNN L2,29,1001,0.15,0.5482865324830994,25,4500,1500,1500,0.20666666666666667,0.20134228187919462,1.0,0.33519553072625696,0.1994937891215195,300,1190,0,10,0.8738461538461538,0.5386506231198969,0.3835864348099772
TinyMLP h5 (lambda12),29,1001,0.15,0.5658007902903174,21,4500,1500,1500,0.20533333333333334,0.20107238605898123,1.0,0.3348214285714286,0.2500733616694083,300,1192,0,8,0.927536231884058,0.5927148033126294,0.36097935267857145
TinyMLP h5 (mu12),29,1001,0.15,0.47414915385743567,21,4500,1500,1500,0.20666666666666667,0.20134228187919462,1.0,0.33519553072625696,0.1994937891215195,300,1190,0,10,0.8738461538461538,0.5386506231198969,0.3835864348099772
Schmidt-QPP QNN L2,29,2003,0.15,0.5482865324830994,25,4500,1500,1500,0.206,0.2012072434607646,1.0,0.33500837520938026,0.1924240275613262,300,1191,0,9,0.8738461538461538,0.5388377786367735,0.38337226036284716
TinyMLP h5 (lambda12),29,2003,0.15,0.5658007902903174,21,4500,1500,1500,0.20533333333333334,0.20107238605898123,1.0,0.3348214285714286,0.22099713617769273,300,1192,0,8,0.927536231884058,0.5927148033126294,0.36097935267857145
TinyMLP h5 (mu12),29,2003,0.15,0.47414915385743567,21,4500,1500,1500,0.206,0.2012072434607646,1.0,0.33500837520938026,0.1924240275613262,300,1191,0,9,0.8738461538461538,0.5388377786367735,0.38337226036284716
Schmidt-QPP QNN L2,29,3001,0.15,0.5482865324830994,25,4500,1500,1500,0.20066666666666666,0.200133422281521,1.0,0.33351862145636463,0.18689397039092182,300,1199,0,1,0.8738461538461538,0.5403275323897891,0.3816674365257694
TinyMLP h5 (lambda12),29,3001,0.15,0.5658007902903174,21,4500,1500,1500,0.20333333333333334,0.20066889632107024,1.0,0.3342618384401114,0.24258877119220007,300,1195,0,5,0.927536231884058,0.5932743934439466,0.3603760445682451
TinyMLP h5 (mu12),29,3001,0.15,0.47414915385743567,21,4500,1500,1500,0.20066666666666666,0.200133422281521,1.0,0.33351862145636463,0.18689397039092176,300,1199,0,1,0.8738461538461538,0.5403275323897891,0.3816674365257694
Schmidt-QPP QNN L2,41,clean,0.0,0.5956951977795779,25,4500,1500,1500,0.9453333333333334,0.8114285714285714,0.9466666666666667,0.8738461538461538,0.922911660233885,284,66,16,1134,0.8738461538461538,0.0,1.0
TinyMLP h5 (lambda12),41,clean,0.0,0.5495063074301623,21,4500,1500,1500,0.9706666666666667,0.8975155279503105,0.9633333333333334,0.9292604501607717,0.9681385227825768,289,33,11,1167,0.9292604501607717,0.0,1.0
TinyMLP h5 (mu12),41,clean,0.0,0.4897331273336216,21,4500,1500,1500,0.9453333333333334,0.8114285714285714,0.9466666666666667,0.8738461538461538,0.922911660233885,284,66,16,1134,0.8738461538461538,0.0,1.0
Schmidt-QPP QNN L2,41,1001,0.01,0.5956951977795779,25,4500,1500,1500,0.5926666666666667,0.3246899661781285,0.96,0.485256950294861,0.29167940960932764,288,599,12,601,0.8738461538461538,0.38858920355129284,0.555311650865598
TinyMLP h5 (lambda12),41,1001,0.01,0.5495063074301623,21,4500,1500,1500,0.8626666666666667,0.5951417004048583,0.98,0.7405541561712845,0.8777775245597172,294,200,6,1000,0.9292604501607717,0.18870629398948724,0.7969285210009325
TinyMLP h5 (mu12),41,1001,0.01,0.4897331273336216,21,4500,1500,1500,0.5926666666666667,0.3246899661781285,0.96,0.485256950294861,0.2916794096093277,288,599,12,601,0.8738461538461538,0.38858920355129284,0.555311650865598
Schmidt-QPP QNN L2,41,2003,0.01,0.5956951977795779,25,4500,1500,1500,0.588,0.32094594594594594,0.95,0.47979797979797983,0.3089451280043942,285,603,15,597,0.8738461538461538,0.394048174048174,0.5490645895575473
TinyMLP h5 (lambda12),41,2003,0.01,0.5495063074301623,21,4500,1500,1500,0.8366666666666667,0.5523809523809524,0.9666666666666667,0.7030303030303031,0.8698436607301568,290,235,10,965,0.9292604501607717,0.22623014713046863,0.7565481807696341
TinyMLP h5 (mu12),41,2003,0.01,0.4897331273336216,21,4500,1500,1500,0.588,0.32094594594594594,0.95,0.47979797979797983,0.3089451280043943,285,603,15,597,0.8738461538461538,0.394048174048174,0.5490645895575473
Schmidt-QPP QNN L2,41,3001,0.01,0.5956951977795779,25,4500,1500,1500,0.6153333333333333,0.3376318874560375,0.96,0.49956634865568084,0.3286997654045651,288,565,12,635,0.8738461538461538,0.374279805190473,0.5716868426517474
TinyMLP h5 (lambda12),41,3001,0.01,0.5495063074301623,21,4500,1500,1500,0.8506666666666667,0.575098814229249,0.97,0.7220843672456575,0.877039719107888,291,215,9,985,0.9292604501607717,0.20717608291511425,0.7770527273820051
TinyMLP h5 (mu12),41,3001,0.01,0.4897331273336216,21,4500,1500,1500,0.6153333333333333,0.3376318874560375,0.96,0.49956634865568084,0.3286997654045651,288,565,12,635,0.8738461538461538,0.374279805190473,0.5716868426517474
Schmidt-QPP QNN L2,41,1001,0.02,0.5956951977795779,25,4500,1500,1500,0.44066666666666665,0.2565492321589883,0.9466666666666667,0.40369580668088134,0.23936888541682574,284,823,16,377,0.8738461538461538,0.4701503471652725,0.4619758351101635
TinyMLP h5 (lambda12),41,1001,0.02,0.5495063074301623,21,4500,1500,1500,0.708,0.4041666666666667,0.97,0.5705882352941177,0.7493886121686576,291,429,9,771,0.9292604501607717,0.358672214866654,0.614024017911663
TinyMLP h5 (mu12),41,1001,0.02,0.4897331273336216,21,4500,1500,1500,0.44066666666666665,0.2565492321589883,0.9466666666666667,0.40369580668088134,0.23936888541682577,284,823,16,377,0.8738461538461538,0.4701503471652725,0.4619758351101635
Schmidt-QPP QNN L2,41,2003,0.02,0.5956951977795779,25,4500,1500,1500,0.43533333333333335,0.25645592163846836,0.96,0.4047786366830639,0.23145603459451058,288,835,12,365,0.8738461538461538,0.4690675171630899,0.46321498916195697
TinyMLP h5 (lambda12),41,2003,0.02,0.5495063074301623,21,4500,1500,1500,0.7106666666666667,0.40668523676880225,0.9733333333333334,0.5736738703339882,0.7756411866828317,292,426,8,774,0.9292604501607717,0.35558657982678354,0.6173445455843264
TinyMLP h5 (mu12),41,2003,0.02,0.4897331273336216,21,4500,1500,1500,0.43533333333333335,0.25645592163846836,0.96,0.4047786366830639,0.23145603459451058,288,835,12,365,0.8738461538461538,0.4690675171630899,0.46321498916195697
Schmidt-QPP QNN L2,41,3001,0.02,0.5956951977795779,25,4500,1500,1500,0.42333333333333334,0.25413402959094866,0.9733333333333334,0.4030365769496204,0.23629425969878504,292,857,8,343,0.8738461538461538,0.4708095768965334,0.46122143488953043
TinyMLP h5 (lambda12),41,3001,0.02,0.5495063074301623,21,4500,1500,1500,0.7273333333333334,0.4220314735336195,0.9833333333333333,0.5905905905905906,0.7960144429662228,295,404,5,796,0.9292604501607717,0.33866985957018114,0.6355490438535422
TinyMLP h5 (mu12),41,3001,0.02,0.4897331273336216,21,4500,1500,1500,0.42333333333333334,0.25413402959094866,0.9733333333333334,0.4030365769496204,0.23629425969878506,292,857,8,343,0.8738461538461538,0.4708095768965334,0.46122143488953043
Schmidt-QPP QNN L2,41,1001,0.03,0.5956951977795779,25,4500,1500,1500,0.3446666666666667,0.23131392604248624,0.98,0.37428389560789305,0.21252371851693944,294,977,6,223,0.8738461538461538,0.4995622582382608,0.4283178382836804
TinyMLP h5 (lambda12),41,1001,0.03,0.5495063074301623,21,4500,1500,1500,0.5953333333333334,0.32887402452619846,0.9833333333333333,0.4928989139515456,0.6366007225798376,295,602,5,598,0.9292604501607717,0.43636153620922613,0.5304206305845353
TinyMLP h5 (mu12),41,1001,0.03,0.4897331273336216,21,4500,1500,1500,0.3446666666666667,0.23131392604248624,0.98,0.37428389560789305,0.21252371851693944,294,977,6,223,0.8738461538461538,0.4995622582382608,0.4283178382836804
Schmidt-QPP QNN L2,41,2003,0.03,0.5956951977795779,25,4500,1500,1500,0.3426666666666667,0.23076923076923078,0.98,0.3735705209656925,0.21228281169118107,294,980,6,220,0.8738461538461538,0.5002756328804614,0.42750147645721853
TinyMLP h5 (lambda12),41,2003,0.03,0.5495063074301623,21,4500,1500,1500,0.6126666666666667,0.3394285714285714,0.99,0.5055319148936169,0.7327925576389843,297,578,3,622,0.9292604501607717,0.4237285352671548,0.5440153132592209
TinyMLP h5 (mu12),41,2003,0.03,0.4897331273336216,21,4500,1500,1500,0.3426666666666667,0.23076923076923078,0.98,0.3735705209656925,0.21228281169118107,294,980,6,220,0.8738461538461538,0.5002756328804614,0.42750147645721853
Schmidt-QPP QNN L2,41,3001,0.03,0.5956951977795779,25,4500,1500,1500,0.338,0.2290852228303362,0.9766666666666667,0.37112096263457883,0.21274503500948527,293,986,7,214,0.8738461538461538,0.502725191211575,0.4246982847050638
TinyMLP h5 (lambda12),41,3001,0.03,0.5495063074301623,21,4500,1500,1500,0.6086666666666667,0.33674630261660976,0.9866666666666667,0.5021204410517387,0.6767602667338682,296,583,4,617,0.9292604501607717,0.42714000910903305,0.5403441424466807
TinyMLP h5 (mu12),41,3001,0.03,0.4897331273336216,21,4500,1500,1500,0.338,0.2290852228303362,0.9766666666666667,0.37112096263457883,0.21274503500948527,293,986,7,214,0.8738461538461538,0.502725191211575,0.4246982847050638
Schmidt-QPP QNN L2,41,1001,0.05,0.5956951977795779,25,4500,1500,1500,0.2653333333333333,0.21357142857142858,0.9966666666666667,0.3517647058823529,0.19611922126960987,299,1101,1,99,0.8738461538461538,0.522081447963801,0.4025476387738194
TinyMLP h5 (lambda12),41,1001,0.05,0.5495063074301623,21,4500,1500,1500,0.42333333333333334,0.25709372312983664,0.9966666666666667,0.40874914559125086,0.47398786721659714,299,864,1,336,0.9292604501607717,0.5205113045695209,0.43986499750477165
TinyMLP h5 (mu12),41,1001,0.05,0.4897331273336216,21,4500,1500,1500,0.2653333333333333,0.21357142857142858,0.9966666666666667,0.3517647058823529,0.1961192212696099,299,1101,1,99,0.8738461538461538,0.522081447963801,0.4025476387738194
Schmidt-QPP QNN L2,41,2003,0.05,0.5956951977795779,25,4500,1500,1500,0.2806666666666667,0.21548575602629658,0.9833333333333333,0.35350509286998205,0.19745986146352626,295,1074,5,126,0.8738461538461538,0.5203410609761718,0.4045392788124795
TinyMLP h5 (lambda12),41,2003,0.05,0.5495063074301623,21,4500,1500,1500,0.42733333333333334,0.25842696629213485,0.9966666666666667,0.4104323953328758,0.45736305361872565,299,858,1,342,0.9292604501607717,0.518828054827896,0.4416763839049286
TinyMLP h5 (mu12),41,2003,0.05,0.4897331273336216,21,4500,1500,1500,0.2806666666666667,0.21548575602629658,0.9833333333333333,0.35350509286998205,0.19745986146352623,295,1074,5,126,0.8738461538461538,0.5203410609761718,0.4045392788124795
Schmidt-QPP QNN L2,41,3001,0.05,0.5956951977795779,25,4500,1500,1500,0.276,0.21397379912663755,0.98,0.3512544802867384,0.20146714372418753,294,1080,6,120,0.8738461538461538,0.5225916735594154,0.4019637538492605
TinyMLP h5 (lambda12),41,3001,0.05,0.5495063074301623,21,4500,1500,1500,0.4206666666666667,0.25621251071122536,0.9966666666666667,0.4076346284935242,0.5134467500057991,299,868,1,332,0.9292604501607717,0.5216258216672476,0.4386656382750382
TinyMLP h5 (mu12),41,3001,0.05,0.4897331273336216,21,4500,1500,1500,0.276,0.21397379912663755,0.98,0.3512544802867384,0.20146714372418753,294,1080,6,120,0.8738461538461538,0.5225916735594154,0.4019637538492605
Schmidt-QPP QNN L2,41,1001,0.08,0.5956951977795779,25,4500,1500,1500,0.226,0.20493488690884168,0.9966666666666667,0.33996588971006253,0.19213289966331787,299,1160,1,40,0.8738461538461538,0.5338802641360914,0.38904547237947296
TinyMLP h5 (lambda12),41,1001,0.08,0.5495063074301623,21,4500,1500,1500,0.27666666666666667,0.21660649819494585,1.0,0.3560830860534125,0.3019086336293604,300,1085,0,115,0.9292604501607717,0.5731773641073592,0.3831897569640529
TinyMLP h5 (mu12),41,1001,0.08,0.4897331273336216,21,4500,1500,1500,0.226,0.20493488690884168,0.9966666666666667,0.33996588971006253,0.19213289966331787,299,1160,1,40,0.8738461538461538,0.5338802641360914,0.38904547237947296
Schmidt-QPP QNN L2,41,2003,0.08,0.5956951977795779,25,4500,1500,1500,0.22733333333333333,0.2039972432804962,0.9866666666666667,0.3380925185608224,0.2056352884635909,296,1155,4,45,0.8738461538461538,0.5357536352853314,0.3869016497615045
TinyMLP h5 (lambda12),41,2003,0.08,0.5495063074301623,21,4500,1500,1500,0.2866666666666667,0.21897810218978103,1.0,0.35928143712574856,0.30247560515960425,300,1070,0,130,0.9292604501607717,0.5699790130350232,0.3866315811284007
TinyMLP h5 (mu12),41,2003,0.08,0.4897331273336216,21,4500,1500,1500,0.22733333333333333,0.2039972432804962,0.9866666666666667,0.3380925185608224,0.20563528846359086,296,1155,4,45,0.8738461538461538,0.5357536352853314,0.3869016497615045
Schmidt-QPP QNN L2,41,3001,0.08,0.5956951977795779,25,4500,1500,1500,0.22933333333333333,0.20523415977961432,0.9933333333333333,0.3401826484018265,0.19942947549908674,298,1154,2,46,0.8738461538461538,0.5336635054443273,0.3892935236992733
TinyMLP h5 (lambda12),41,3001,0.08,0.5495063074301623,21,4500,1500,1500,0.29733333333333334,0.22156573116691286,1.0,0.36275695284159615,0.32378566510222145,300,1054,0,146,0.9292604501607717,0.5665034973191756,0.3903716689748664
TinyMLP h5 (mu12),41,3001,0.08,0.4897331273336216,21,4500,1500,1500,0.22933333333333333,0.20523415977961432,0.9933333333333333,0.3401826484018265,0.19942947549908674,298,1154,2,46,0.8738461538461538,0.5336635054443273,0.3892935236992733
Schmidt-QPP QNN L2,41,1001,0.1,0.5956951977795779,25,4500,1500,1500,0.21533333333333332,0.20271186440677966,0.9966666666666667,0.3369014084507042,0.19564740924710022,299,1176,1,24,0.8738461538461538,0.5369447453954497,0.3855385836143622
TinyMLP h5 (lambda12),41,1001,0.1,0.5495063074301623,21,4500,1500,1500,0.23733333333333334,0.20694444444444443,0.9933333333333333,0.34252873563218383,0.25615528873794213,298,1142,2,58,0.9292604501607717,0.586731714528588,0.3686035874796165
TinyMLP h5 (mu12),41,1001,0.1,0.4897331273336216,21,4500,1500,1500,0.21533333333333332,0.20271186440677966,0.9966666666666667,0.3369014084507042,0.19564740924710022,299,1176,1,24,0.8738461538461538,0.5369447453954497,0.3855385836143622
Schmidt-QPP QNN L2,41,2003,0.1,0.5956951977795779,25,4500,1500,1500,0.218,0.20366598778004075,1.0,0.338409475465313,0.2083250721419329,300,1173,0,27,0.8738461538461538,0.5354366783808409,0.3872643645289674
TinyMLP h5 (lambda12),41,2003,0.1,0.5495063074301623,21,4500,1500,1500,0.23733333333333334,0.2077562326869806,1.0,0.3440366972477064,0.25567938192644485,300,1144,0,56,0.9292604501607717,0.5852237529130653,0.3702263420208882
TinyMLP h5 (mu12),41,2003,0.1,0.4897331273336216,21,4500,1500,1500,0.218,0.20366598778004075,1.0,0.338409475465313,0.20832507214193294,300,1173,0,27,0.8738461538461538,0.5354366783808409,0.3872643645289674
Schmidt-QPP QNN L2,41,3001,0.1,0.5956951977795779,25,4500,1500,1500,0.21733333333333332,0.20352781546811397,1.0,0.3382187147688839,0.19059933317952038,300,1174,0,26,0.8738461538461538,0.53562743907727,0.38704606443622275
TinyMLP h5 (lambda12),41,3001,0.1,0.5495063074301623,21,4500,1500,1500,0.246,0.20964360587002095,1.0,0.34662045060658575,0.2511091410046834,300,1131,0,69,0.9292604501607717,0.582639999554186,0.37300678248667185
TinyMLP h5 (mu12),41,3001,0.1,0.4897331273336216,21,4500,1500,1500,0.21733333333333332,0.20352781546811397,1.0,0.3382187147688839,0.19059933317952038,300,1174,0,26,0.8738461538461538,0.53562743907727,0.38704606443622275
Schmidt-QPP QNN L2,41,1001,0.15,0.5956951977795779,25,4500,1500,1500,0.20666666666666667,0.20134228187919462,1.0,0.33519553072625696,0.1994937891215195,300,1190,0,10,0.8738461538461538,0.5386506231198969,0.3835864348099772
TinyMLP h5 (lambda12),41,1001,0.15,0.5495063074301623,21,4500,1500,1500,0.20533333333333334,0.20107238605898123,1.0,0.3348214285714286,0.19384846167448405,300,1192,0,8,0.9292604501607717,0.5944390215893431,0.3603095650024716
TinyMLP h5 (mu12),41,1001,0.15,0.4897331273336216,21,4500,1500,1500,0.20666666666666667,0.20134228187919462,1.0,0.33519553072625696,0.1994937891215195,300,1190,0,10,0.8738461538461538,0.5386506231198969,0.3835864348099772
Schmidt-QPP QNN L2,41,2003,0.15,0.5956951977795779,25,4500,1500,1500,0.206,0.2012072434607646,1.0,0.33500837520938026,0.19242402756132623,300,1191,0,9,0.8738461538461538,0.5388377786367735,0.38337226036284716
TinyMLP h5 (lambda12),41,2003,0.15,0.5495063074301623,21,4500,1500,1500,0.20533333333333334,0.20107238605898123,1.0,0.3348214285714286,0.18243014495506338,300,1192,0,8,0.9292604501607717,0.5944390215893431,0.3603095650024716
TinyMLP h5 (mu12),41,2003,0.15,0.4897331273336216,21,4500,1500,1500,0.206,0.2012072434607646,1.0,0.33500837520938026,0.1924240275613262,300,1191,0,9,0.8738461538461538,0.5388377786367735,0.38337226036284716
Schmidt-QPP QNN L2,41,3001,0.15,0.5956951977795779,25,4500,1500,1500,0.20066666666666666,0.200133422281521,1.0,0.33351862145636463,0.18689397039092182,300,1199,0,1,0.8738461538461538,0.5403275323897891,0.3816674365257694
TinyMLP h5 (lambda12),41,3001,0.15,0.5495063074301623,21,4500,1500,1500,0.20333333333333334,0.20066889632107024,1.0,0.3342618384401114,0.19255003111168623,300,1195,0,5,0.9292604501607717,0.5949986117206603,0.35970737631444516
TinyMLP h5 (mu12),41,3001,0.15,0.4897331273336216,21,4500,1500,1500,0.20066666666666666,0.200133422281521,1.0,0.33351862145636463,0.18689397039092176,300,1199,0,1,0.8738461538461538,0.5403275323897891,0.3816674365257694
Schmidt-QPP QNN L2,53,clean,0.0,0.49739777738176355,25,4500,1500,1500,0.9453333333333334,0.8114285714285714,0.9466666666666667,0.8738461538461538,0.922911660233885,284,66,16,1134,0.8738461538461538,0.0,1.0
TinyMLP h5 (lambda12),53,clean,0.0,0.5731570837741349,21,4500,1500,1500,0.9693333333333334,0.8944099378881988,0.96,0.9260450160771705,0.9686686367629217,288,34,12,1166,0.9260450160771705,0.0,1.0
TinyMLP h5 (mu12),53,clean,0.0,0.45711167644633555,21,4500,1500,1500,0.9453333333333334,0.8114285714285714,0.9466666666666667,0.8738461538461538,0.9229130694983899,284,66,16,1134,0.8738461538461538,0.0,1.0
Schmidt-QPP QNN L2,53,1001,0.01,0.49739777738176355,25,4500,1500,1500,0.5926666666666667,0.3246899661781285,0.96,0.485256950294861,0.29167940960932764,288,599,12,601,0.8738461538461538,0.38858920355129284,0.555311650865598
TinyMLP h5 (lambda12),53,1001,0.01,0.5731570837741349,21,4500,1500,1500,0.8486666666666667,0.571150097465887,0.9766666666666667,0.7207872078720787,0.8739005276385505,293,220,7,980,0.9260450160771705,0.20525780820509176,0.7783500751674183
TinyMLP h5 (mu12),53,1001,0.01,0.45711167644633555,21,4500,1500,1500,0.5926666666666667,0.3246899661781285,0.96,0.485256950294861,0.29167940960932764,288,599,12,601,0.8738461538461538,0.38858920355129284,0.555311650865598
Schmidt-QPP QNN L2,53,2003,0.01,0.49739777738176355,25,4500,1500,1500,0.588,0.32094594594594594,0.95,0.47979797979797983,0.3089451280043943,285,603,15,597,0.8738461538461538,0.394048174048174,0.5490645895575473
TinyMLP h5 (lambda12),53,2003,0.01,0.5731570837741349,21,4500,1500,1500,0.8286666666666667,0.5401869158878505,0.9633333333333334,0.6922155688622754,0.8648656609337608,289,246,11,954,0.9260450160771705,0.23382944721489507,0.7474966733200266
TinyMLP h5 (mu12),53,2003,0.01,0.45711167644633555,21,4500,1500,1500,0.588,0.32094594594594594,0.95,0.47979797979797983,0.3089451280043942,285,603,15,597,0.8738461538461538,0.394048174048174,0.5490645895575473
Schmidt-QPP QNN L2,53,3001,0.01,0.49739777738176355,25,4500,1500,1500,0.6153333333333333,0.3376318874560375,0.96,0.49956634865568084,0.328699765404565,288,565,12,635,0.8738461538461538,0.374279805190473,0.5716868426517474
TinyMLP h5 (lambda12),53,3001,0.01,0.5731570837741349,21,4500,1500,1500,0.8393333333333334,0.5566218809980806,0.9666666666666667,0.7064555420219245,0.8808483622192197,290,231,10,969,0.9260450160771705,0.21958947405524598,0.7628738665583976
TinyMLP h5 (mu12),53,3001,0.01,0.45711167644633555,21,4500,1500,1500,0.6153333333333333,0.3376318874560375,0.96,0.49956634865568084,0.32870365910506105,288,565,12,635,0.8738461538461538,0.374279805190473,0.5716868426517474
Schmidt-QPP QNN L2,53,1001,0.02,0.49739777738176355,25,4500,1500,1500,0.44066666666666665,0.2565492321589883,0.9466666666666667,0.40369580668088134,0.23936888541682577,284,823,16,377,0.8738461538461538,0.4701503471652725,0.4619758351101635
TinyMLP h5 (lambda12),53,1001,0.02,0.5731570837741349,21,4500,1500,1500,0.6993333333333334,0.3969986357435198,0.97,0.563407550822846,0.7734985690234514,291,442,9,758,0.9260450160771705,0.3626374652543245,0.6084019038399482
TinyMLP h5 (mu12),53,1001,0.02,0.45711167644633555,21,4500,1500,1500,0.44066666666666665,0.2565492321589883,0.9466666666666667,0.40369580668088134,0.23937224242973404,284,823,16,377,0.8738461538461538,0.4701503471652725,0.4619758351101635
Schmidt-QPP QNN L2,53,2003,0.02,0.49739777738176355,25,4500,1500,1500,0.43533333333333335,0.25645592163846836,0.96,0.4047786366830639,0.23145603459451058,288,835,12,365,0.8738461538461538,0.4690675171630899,0.46321498916195697
TinyMLP h5 (lambda12),53,2003,0.02,0.5731570837741349,21,4500,1500,1500,0.696,0.3945945945945946,0.9733333333333334,0.5615384615384615,0.7922675347546553,292,448,8,752,0.9260450160771705,0.36450655453870895,0.606383547008547
TinyMLP h5 (mu12),53,2003,0.02,0.45711167644633555,21,4500,1500,1500,0.43533333333333335,0.25645592163846836,0.96,0.4047786366830639,0.23145603459451058,288,835,12,365,0.8738461538461538,0.4690675171630899,0.46321498916195697
Schmidt-QPP QNN L2,53,3001,0.02,0.49739777738176355,25,4500,1500,1500,0.42333333333333334,0.25413402959094866,0.9733333333333334,0.4030365769496204,0.23629425969878506,292,857,8,343,0.8738461538461538,0.4708095768965334,0.46122143488953043
TinyMLP h5 (lambda12),53,3001,0.02,0.5731570837741349,21,4500,1500,1500,0.7106666666666667,0.407202216066482,0.98,0.5753424657534247,0.814102990494784,294,428,6,772,0.9260450160771705,0.35070255032374575,0.6212899543378996
TinyMLP h5 (mu12),53,3001,0.02,0.45711167644633555,21,4500,1500,1500,0.42333333333333334,0.25413402959094866,0.9733333333333334,0.4030365769496204,0.23629425969878504,292,857,8,343,0.8738461538461538,0.4708095768965334,0.46122143488953043
Schmidt-QPP QNN L2,53,1001,0.03,0.49739777738176355,25,4500,1500,1500,0.3446666666666667,0.23131392604248624,0.98,0.37428389560789305,0.21252371851693944,294,977,6,223,0.8738461538461538,0.4995622582382608,0.4283178382836804
TinyMLP h5 (lambda12),53,1001,0.03,0.5731570837741349,21,4500,1500,1500,0.584,0.3227571115973742,0.9833333333333333,0.48599670510708404,0.6992265711521852,295,619,5,581,0.9260450160771705,0.44004831097008645,0.5248089419732748
TinyMLP h5 (mu12),53,1001,0.03,0.45711167644633555,21,4500,1500,1500,0.3446666666666667,0.23131392604248624,0.98,0.37428389560789305,0.21252371851693944,294,977,6,223,0.8738461538461538,0.4995622582382608,0.4283178382836804
Schmidt-QPP QNN L2,53,2003,0.03,0.49739777738176355,25,4500,1500,1500,0.3426666666666667,0.23076923076923078,0.98,0.3735705209656925,0.21228281169118107,294,980,6,220,0.8738461538461538,0.5002756328804614,0.42750147645721853
TinyMLP h5 (lambda12),53,2003,0.03,0.5731570837741349,21,4500,1500,1500,0.602,0.3333333333333333,0.99,0.49874055415617125,0.7781828410281779,297,594,3,606,0.9260450160771705,0.42730446192099925,0.5385705289672543
TinyMLP h5 (mu12),53,2003,0.03,0.45711167644633555,21,4500,1500,1500,0.3426666666666667,0.23076923076923078,0.98,0.3735705209656925,0.21228281169118107,294,980,6,220,0.8738461538461538,0.5002756328804614,0.42750147645721853
Schmidt-QPP QNN L2,53,3001,0.03,0.49739777738176355,25,4500,1500,1500,0.338,0.2290852228303362,0.9766666666666667,0.37112096263457883,0.21274503500948527,293,986,7,214,0.8738461538461538,0.502725191211575,0.4246982847050638
TinyMLP h5 (lambda12),53,3001,0.03,0.5731570837741349,21,4500,1500,1500,0.588,0.3252747252747253,0.9866666666666667,0.4892561983471075,0.7327039787916905,296,614,4,586,0.9260450160771705,0.436788817730063,0.5283287419651056
TinyMLP h5 (mu12),53,3001,0.03,0.45711167644633555,21,4500,1500,1500,0.338,0.2290852228303362,0.9766666666666667,0.37112096263457883,0.21274503500948527,293,986,7,214,0.8738461538461538,0.502725191211575,0.4246982847050638
