model,training_seed,noise_seed,saltpepper_probability,threshold,trainable_parameters,train_samples,validation_samples,test_samples,accuracy,precision,recall,f1,pr_auc,tp,fp,fn,tn,clean_f1,f1_drop,f1_retention
TinyMLP h5 (mu12),17,2003,0.03,0.48684885424745994,21,4500,1500,1500,0.3426666666666667,0.23076923076923078,0.98,0.3735705209656925,0.2122828116911811,294,980,6,220,0.8738461538461538,0.5002756328804614,0.42750147645721853
Schmidt-QPP QNN L2,17,3001,0.03,0.5373572475497486,25,4500,1500,1500,0.338,0.2290852228303362,0.9766666666666667,0.37112096263457883,0.21274503500948527,293,986,7,214,0.8738461538461538,0.502725191211575,0.4246982847050638
TinyMLP h5 (lambda12),17,3001,0.03,0.5687221041631866,21,4500,1500,1500,0.6206666666666667,0.3437862950058072,0.9866666666666667,0.5099052540913007,0.7370051487453495,296,565,4,635,0.9290322580645162,0.41912700397321545,0.5488563498899417
TinyMLP h5 (mu12),17,3001,0.03,0.48684885424745994,21,4500,1500,1500,0.338,0.2290852228303362,0.9766666666666667,0.37112096263457883,0.21274503500948527,293,986,7,214,0.8738461538461538,0.502725191211575,0.4246982847050638
Schmidt-QPP QNN L2,17,1001,0.05,0.5373572475497486,25,4500,1500,1500,0.2653333333333333,0.21357142857142858,0.9966666666666667,0.3517647058823529,0.19611922126960987,299,1101,1,99,0.8738461538461538,0.522081447963801,0.4025476387738194
TinyMLP h5 (lambda12),17,1001,0.05,0.5687221041631866,21,4500,1500,1500,0.432,0.26,0.9966666666666667,0.4124137931034482,0.5774046747681332,299,851,1,349,0.9290322580645162,0.5166184649610679,0.4439176245210727
TinyMLP h5 (mu12),17,1001,0.05,0.48684885424745994,21,4500,1500,1500,0.2653333333333333,0.21357142857142858,0.9966666666666667,0.3517647058823529,0.19611922126960987,299,1101,1,99,0.8738461538461538,0.522081447963801,0.4025476387738194
Schmidt-QPP QNN L2,17,2003,0.05,0.5373572475497486,25,4500,1500,1500,0.2806666666666667,0.21548575602629658,0.9833333333333333,0.35350509286998205,0.19745986146352626,295,1074,5,126,0.8738461538461538,0.5203410609761718,0.4045392788124795
TinyMLP h5 (lambda12),17,2003,0.05,0.5687221041631866,21,4500,1500,1500,0.43533333333333335,0.26071741032370954,0.9933333333333333,0.413028413028413,0.5618108897431977,298,845,2,355,0.9290322580645162,0.5160038450361032,0.4445791945791945
TinyMLP h5 (mu12),17,2003,0.05,0.48684885424745994,21,4500,1500,1500,0.2806666666666667,0.21548575602629658,0.9833333333333333,0.35350509286998205,0.1974598614635263,295,1074,5,126,0.8738461538461538,0.5203410609761718,0.4045392788124795
Schmidt-QPP QNN L2,17,3001,0.05,0.5373572475497486,25,4500,1500,1500,0.276,0.21397379912663755,0.98,0.3512544802867384,0.20146714372418753,294,1080,6,120,0.8738461538461538,0.5225916735594154,0.4019637538492605
