epoch,loss,train_pr_auc,val_pr_auc
1,0.9742002752092149,0.8694394793303665,0.887802564997495
2,0.5817845058110025,0.8694394793303665,0.887802564997495
3,0.39879068235556286,0.8694394793303665,0.887802564997495
4,0.33492213239272434,0.8694394793303665,0.887802564997495
5,0.30655256865753067,0.8694394793303666,0.887802564997495
6,0.30351033475663924,0.8694394793303666,0.887802564997495
7,0.28814182927211124,0.8694394793303666,0.887802564997495
8,0.2832009866833687,0.8694394793303665,0.887802564997495
9,0.27119827177375555,0.8694394793303665,0.887802564997495
10,0.27202950459387565,0.8694394793303666,0.887802564997495
11,0.2753411953647931,0.8694394793303665,0.887802564997495
