epoch,loss,train_pr_auc,val_pr_auc,val_f1_at_0_5
1.0,0.7347754465671165,0.6314591841546506,0.7719690756649796,0.8687012065294535
2.0,0.5724966861018839,0.6625167762622299,0.8269025917489325,0.8728039353478566
3.0,0.5481253282506336,0.6781000820455707,0.8574265835608776,0.8744710860366713
4.0,0.5425569006946968,0.685144022306179,0.8734015703963832,0.8755304101838756
5.0,0.5397687705296262,0.689604471261555,0.8821555488986683,0.8705388383484954
6.0,0.5375608476865508,0.6929951834434904,0.8880936271207213,0.8697478991596639
7.0,0.5360305439440163,0.6977675737404995,0.8939293969122031,0.8711484593837535
8.0,0.5348208302521275,0.6992951902255767,0.8973365865854244,0.870604781997187
9.0,0.5338504858103217,0.7031293591169704,0.9006401586817451,0.8734177215189873
10.0,0.5329167055837252,0.7028919589238438,0.9036036743166138,0.8715083798882681
11.0,0.5321869333431086,0.7044773048558394,0.9068160132378522,0.8672689367616401
12.0,0.5317650461997788,0.7060928471685288,0.9070921888791172,0.8684759916492694
13.0,0.5311816214591034,0.7066891890667473,0.9077150990727092,0.8697478991596639
14.0,0.5306651301932274,0.7074086225472713,0.9084062354717524,0.8707197763801537
15.0,0.5301988061700372,0.7083458344163538,0.9088815434860994,0.8699300699300699
16.0,0.5298324933501793,0.7105382598129333,0.9083205943824111,0.8675034867503487
17.0,0.5295109677992433,0.7096822347923171,0.9092518870716334,0.8683473389355743
18.0,0.5288056937607067,0.7123691681581367,0.9091633056248865,0.866481223922114
19.0,0.528640011253283,0.7119710288814356,0.9104004335563043,0.8691392582225332
20.0,0.5283425002905133,0.712020714040337,0.9107933991056653,0.8687719298245614
21.0,0.5280224400589324,0.7128443153930625,0.9125014439904844,0.8652777777777778
22.0,0.5276925610787493,0.7130572657141461,0.9125329333373722,0.867739678096571
23.0,0.5275654352296538,0.7139925857826589,0.9130868410549394,0.8699929725931131
24.0,0.5272742982674631,0.71494388026338,0.912907408667008,0.8699300699300699
25.0,0.5269986109216084,0.7157197535450555,0.913403659788053,0.8688981868898187
26.0,0.5266661434518582,0.7162320162644762,0.914425778560748,0.8699300699300699
27.0,0.526659634609247,0.7170125801101834,0.9156359279081887,0.8688981868898187
28.0,0.5263156615178406,0.717756329665611,0.9169042819818463,0.8681088625261689
29.0,0.5260701047049628,0.7178331352482148,0.9176701101541287,0.866481223922114
30.0,0.5258059166660605,0.7167150829989518,0.919723826568148,0.8691392582225332
31.0,0.5255256274411845,0.7187601266151571,0.9195998202974114,0.866481223922114
32.0,0.5252229214022633,0.7199465138546051,0.9211694989898247,0.8649025069637883
33.0,0.5250633533764871,0.721260899756317,0.9214201877274021,0.8658790826963169
34.0,0.5246373296400065,0.7221964580032922,0.9237284496941629,0.8665269042627534
35.0,0.5243441971543531,0.7237296957433997,0.9237753987647307,0.8640776699029126
