epoch,loss,train_pr_auc,val_pr_auc
1,0.9804055955674913,0.8694394793303666,0.887802564997495
2,0.73268913394875,0.8694394793303666,0.887802564997495
3,0.5007346148292223,0.8694394793303666,0.887802564997495
4,0.3752310574054718,0.8694394793303666,0.887802564997495
5,0.3206826936867502,0.8694394793303666,0.887802564997495
6,0.32337572508388096,0.8694394793303666,0.887802564997495
7,0.29106096509430146,0.8694394793303664,0.887802564997495
8,0.2888646825320191,0.8694394793303666,0.887802564997495
9,0.296407754222552,0.8694394793303666,0.887802564997495
10,0.28620900958776474,0.8694394793303666,0.887802564997495
11,0.2849395732498831,0.8694394793303666,0.887802564997495
