epoch,loss,train_pr_auc,val_pr_auc
1,0.9022039870421091,0.8694394793303665,0.887802564997495
2,0.5505300230450101,0.8694394793303665,0.887802564997495
3,0.39314819706810844,0.8694394793303666,0.887802564997495
4,0.3328212396138244,0.8694394793303665,0.887802564997495
5,0.30376708176400924,0.8694394793303666,0.887802564997495
6,0.30749817689259845,0.8694394793303666,0.887802564997495
7,0.28461284480161136,0.8694394793303666,0.887802564997495
8,0.2811221426559819,0.8694394793303665,0.887802564997495
9,0.2832824293937948,0.8694394793303665,0.887802564997495
10,0.27685511940055424,0.8694394793303666,0.887802564997495
11,0.27288170096774894,0.8694394793303665,0.887802564997495
