name,model_name,feature_set,n_qubits,layers,train_samples,test_samples,val_f1,threshold,precision,recall,f1,roc_auc,pr_auc,setting,val_samples
clean_train_saltpepper_test,qpp_qnn2_clean_train,lambda12,2,2,4500,1500,0.9161290322580645,0.6465219031296301,0.3767560664112388,0.9833333333333333,0.5447830101569714,0.8418,0.48567423081358496,clean train,
noise_aware_train_saltpepper_test,qpp_qnn2_noise_aware,lambda12,2,2,22500,1500,0.7768987341772152,0.8453675461981172,0.6407035175879398,0.85,0.7306590257879656,0.9326625,0.7712406449656249,noise-aware train,3000
