method,input,precision,recall,f1,pr_auc,source
Harris,image,0.16521739130434782,0.95,0.28148148148148144,0.8952916090107383,classical_and_day2_baseline
FAST,image,0.07885906040268456,0.7833333333333333,0.14329268292682926,0.7924621926652919,classical_and_day2_baseline
ORB,image,0.0411522633744856,1.0,0.07905138339920949,0.7758923680151959,classical_and_day2_baseline
MLP,same features,0.9347079037800687,0.9066666666666666,0.9204737732656514,0.9748902785107153,classical_and_day2_baseline
QNN,same features,0.5238095238095238,0.6875,0.5945945945945946,0.4671653487021768,classical_and_day2_baseline
Threshold lambda2,lambda2,0.912751677852349,0.9066666666666666,0.9096989966555183,0.9635197087673459,qpp_full_split
Logistic logS+eta,logS_eta,0.8682634730538922,0.9666666666666667,0.9148264984227129,0.966426708299615,qpp_full_split
QPP QNN 1q scalar c4,scalar_c4,0.8678678678678678,0.9633333333333334,0.9131121642969984,0.9437044585526927,qpp_full_split
QPP QNN 2q lambda12,lambda12,0.8865030674846626,0.9633333333333334,0.9233226837060703,0.9448444239774081,qpp_full_split
