epoch,loss,train_pr_auc,val_pr_auc
1,0.9847353200117747,0.8694394793303664,0.887802564997495
2,0.715504076745775,0.8694394793303666,0.887802564997495
3,0.4549040562576718,0.8694394793303666,0.887802564997495
4,0.3421666845679283,0.8694394793303665,0.887802564997495
5,0.3116369533042113,0.8694394793303666,0.887802564997495
6,0.292145986109972,0.8694394793303665,0.887802564997495
7,0.28545875164369744,0.8694394793303666,0.887802564997495
8,0.2851899572544628,0.8694394793303664,0.887802564997495
9,0.2897263430058956,0.8694394793303664,0.887802564997495
10,0.2912317237092389,0.8694394793303665,0.887802564997495
11,0.2859378767510255,0.8694394793303666,0.887802564997495
