epoch,loss,train_pr_auc,val_pr_auc
1,0.7439658931559987,0.9207436688311997,0.9380625667878129
2,0.35953357484605575,0.9222588435734606,0.9387958406181323
3,0.2641974662741025,0.9439325372848817,0.9473533490915532
4,0.21943460632529524,0.9507090597619513,0.9568727286648531
5,0.19722537075479826,0.9524037785094889,0.9583388274967437
6,0.17907303168127933,0.9535767660208354,0.9596948151369289
7,0.1737133221079906,0.9537291097740406,0.960014114340542
8,0.16816790029406548,0.9541612534836118,0.960926251822886
9,0.17071551167302662,0.9541888736914604,0.9609809199325288
10,0.16668433654639456,0.9543356439769579,0.9610321258249688
11,0.16301089338958263,0.9542178957675448,0.9611532956110787
12,0.1656172201037407,0.9546518280445047,0.9613281593688026
13,0.15740981925692824,0.9547757128659007,0.9614302632546563
14,0.15651430267219743,0.954833249554181,0.9615391249924874
15,0.15533467640893328,0.9549386295670041,0.9616529422088411
16,0.16304853134271172,0.9551130713533301,0.9616948359092481
17,0.16582369659509924,0.9553140969953577,0.9617396097794053
18,0.15504552682654726,0.955381202434009,0.9617117463812312
19,0.15340284972141185,0.9553545899964908,0.9617403013862695
20,0.15129927488871747,0.9554240814285054,0.96184484557013
21,0.15579155397911867,0.9554777766600802,0.9619542149539896
22,0.15085597025851408,0.9554853884785398,0.961927836053469
23,0.1543254115515285,0.9555750846615582,0.9617952892430603
24,0.15109588019549847,0.9554917547996973,0.9618419222931358
25,0.15008464083075523,0.9556718651263235,0.9619048558725118
26,0.14809521515336302,0.9556599669170971,0.96189712268455
27,0.1478012561177214,0.9557356690701109,0.9620647024803263
28,0.1532103575559126,0.9557326743824798,0.9620708572294581
29,0.1472064388088054,0.9557551536858739,0.9619656406770783
30,0.15312316403206852,0.9557003265755536,0.9620723923461016
31,0.15677512985550696,0.9557332051225311,0.9619427392457935
32,0.14723525817195574,0.9556557272701109,0.9619192963979725
33,0.14950545835826132,0.9556206607468827,0.9618969468103932
34,0.14659181185480621,0.9556137076345327,0.9619361992316843
35,0.14927539467397663,0.9556774040839247,0.9619328981456119
36,0.14494238855938116,0.9557443349636444,0.9617799784921445
37,0.14507448745684492,0.9556378469581915,0.9619025920281268
38,0.14788899529311392,0.9557658627115596,0.9615647847822698
39,0.1448581399809983,0.9556645772731911,0.961086476769887
40,0.14611797490053707,0.955689513417151,0.961132814836795
