name,layers,entanglement,readout,trainable_input_scaling,epochs,train_samples,test_samples,test_test_loss,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,best_val_val_loss,best_val_accuracy,best_val_precision,best_val_recall,best_val_f1,best_val_roc_auc,best_val_pr_auc
L1_ring_Z,1,ring,all,False,5,72,36,0.8077821135520935,0.9166666666666666,0.75,0.8571428571428571,0.8,0.9704433497536946,0.8917233560090703,0.9054659803708395,0.8333333333333334,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.8817733990147784,0.5127293341579056
L2_ring_Z,2,ring,all,False,5,72,36,0.9636698365211487,0.8611111111111112,0.625,0.7142857142857143,0.6666666666666666,0.8916256157635468,0.5213512677798392,0.9357446829477946,0.9166666666666666,0.7,1.0,0.8235294117647058,0.9261083743842364,0.6091836734693877
L3_ring_Z,3,ring,all,False,5,72,36,0.9514756401379904,0.9444444444444444,0.7777777777777778,1.0,0.875,0.9605911330049262,0.827437641723356,0.9768871665000916,0.8333333333333334,0.5555555555555556,0.7142857142857143,0.625,0.8817733990147782,0.5168109668109668
L2_none_ZZ,2,none,all_zz,False,5,72,36,1.135941982269287,0.8333333333333334,1.0,0.14285714285714285,0.25,0.6206896551724138,0.45612638994991933,1.0778815746307373,0.8333333333333334,1.0,0.14285714285714285,0.25,0.8423645320197045,0.8285714285714285
L2_linear_ZZ,2,linear,all_zz,False,5,72,36,1.018006980419159,0.7777777777777778,0.3333333333333333,0.14285714285714285,0.2,0.9064039408866995,0.5821428571428571,0.995053748289744,0.9444444444444444,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428572,0.8146567717996289
L2_ring_ZZ,2,ring,all_zz,False,5,72,36,1.0556270480155945,0.8888888888888888,0.6666666666666666,0.8571428571428571,0.75,0.9458128078817734,0.8289638932496075,1.0411331454912822,0.9444444444444444,0.7777777777777778,1.0,0.875,0.9408866995073891,0.7155328798185941
L2_ring_ZZ_scale,2,ring,all_zz,True,5,72,36,0.8156852920850118,0.9444444444444444,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9655172413793103,0.7545918367346939,0.8297636906305949,0.9444444444444444,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9852216748768473,0.9571428571428571
improved_L2_ring_ZZ_scale_more_data,2,ring,all_zz,True,14,220,100,0.6409038352966309,0.88,0.6538461538461539,0.85,0.7391304347826086,0.95375,0.7908632588988669,0.6929919290542602,0.93,0.76,0.95,0.8444444444444444,0.9518749999999999,0.7029309595633126
