dataset,frame,harris_points,fast_points,orb_points,qpp_points,qpp_mean_score,qpp_top_score,logistic_points,qpp_2q_points,logistic_mean_score,logistic_top_score,qpp_2q_mean_score,qpp_2q_top_score
KITTI drive 0001,47,35,35,,,,,35,35,0.381564597923291,0.9881244344094191,0.09842289188782712,0.9864613699252058
KITTI drive 0001,48,35,35,,,,,35,35,0.3856967334083574,0.9860106102923532,0.09712791710482115,0.9865002887678961
KITTI drive 0001,49,35,35,,,,,35,35,0.3805255262269214,0.9868010994505173,0.09549516551189233,0.9869517953581721
KITTI drive 0001,50,35,35,,,,,35,35,0.37738777362695974,0.9848542652660719,0.09329799919019503,0.987096962759188
KITTI drive 0001,51,35,35,,,,,35,35,0.37175144503895796,0.9865095331632547,0.09032160562990903,0.9870316889435303
KITTI drive 0001,52,35,35,,,,,35,35,0.36610705780259467,0.9862666285324837,0.09265526619592511,0.9869962526973216
KITTI drive 0001,53,35,35,,,,,35,35,0.3681164197425459,0.9852697872205627,0.09556680440433542,0.9871702611685029
KITTI drive 0001,54,35,35,,,,,35,35,0.3645716752603069,0.9866437855348654,0.09222411417157657,0.9863980761947514
KITTI drive 0001,55,35,35,,,,,35,35,0.3619318704328374,0.9868502697237835,0.09217857640697694,0.98719768643407
KITTI drive 0001,56,35,35,,,,,35,35,0.373046473649171,0.9871389521834324,0.09764221811529111,0.9868715767482192
KITTI drive 0001,57,35,35,,,,,35,35,0.37687495091336476,0.9864890705196531,0.09985239181269775,0.987142426898032
KITTI drive 0001,58,35,35,,,,,35,35,0.3755675990036443,0.9870219589330873,0.10207975991905985,0.9871409500923558
KITTI drive 0001,59,35,35,,,,,35,35,0.37032837041733835,0.987652400782392,0.09790566360854605,0.9869451371803386
KITTI drive 0001,60,35,35,,,,,35,35,0.3692878917774298,0.986376506152298,0.09415412622796092,0.9868491690665305
KITTI drive 0001,61,35,35,,,,,35,35,0.36669709761242597,0.9869714680883996,0.0886414688475135,0.9869685917350738
KITTI drive 0001,62,35,35,,,,,35,35,0.3594412540177629,0.9865260133724483,0.07894566978998918,0.9867524675478158
KITTI drive 0001,63,35,35,,,,,35,35,0.3600179343661507,0.9884262520019461,0.0797266136410584,0.9868240703170504
KITTI drive 0001,64,35,35,,,,,35,35,0.36148545367048224,0.9873146548221724,0.08276969625512726,0.9867855501222695
KITTI drive 0001,65,35,35,,,,,35,35,0.3589504783797652,0.9868006649937249,0.08747508159335113,0.9869398033073191
KITTI drive 0001,66,35,35,,,,,35,35,0.3534309761163887,0.9874323362206906,0.09143218155076543,0.9866876167388647
KITTI drive 0001,67,35,35,,,,,35,35,0.3533476093723023,0.9893080679464498,0.09432271764348671,0.9870046956437764
KITTI drive 0001,68,35,35,,,,,35,35,0.3610742151627368,0.989701040254814,0.100002075559798,0.9870524125484537
KITTI drive 0001,69,35,35,,,,,35,35,0.36583232541087946,0.987291274501455,0.10115502092974618,0.9870022000317099
KITTI drive 0001,70,35,35,,,,,35,35,0.3740555704777449,0.9857125119521455,0.10661683766403603,0.986883321992596
KITTI drive 0001,71,35,35,,,,,35,35,0.3816440336255786,0.986414650123897,0.11390276227166056,0.987011666171342
