name,feature_set,model,n_qubits,layers,train_samples,test_samples,val_f1,threshold,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc
lambda2_threshold,lambda2,threshold,0,0,4500,1500,0.922824302134647,0.6501579774569158,0.964,0.912751677852349,0.9066666666666666,0.9096989966555183,0.9919111111111111,0.9635197087673459
logistic_logS_eta,logS_eta,logistic,0,0,4500,1500,0.9228346456692913,0.5226139445332346,0.964,0.8682634730538922,0.9666666666666667,0.9148264984227129,0.992475,0.966426708299615
qpp_1q_scalar_c2_L2,scalar_c2,qpp_qnn1,1,2,4500,1500,0.9149277688603531,0.6270367125011906,0.9606666666666667,0.8849840255591054,0.9233333333333333,0.9037520391517129,0.9890166666666667,0.9357116167978519
qpp_1q_scalar_c4_L2,scalar_c4,qpp_qnn1,1,2,4500,1500,0.9272151898734177,0.6054954413492049,0.9633333333333334,0.8678678678678678,0.9633333333333334,0.9131121642969984,0.9918944444444444,0.9437044585526927
qpp_2q_logS_eta_L2,logS_eta,qpp_qnn2,2,2,4500,1500,0.9220985691573926,0.525614908109284,0.9626666666666667,0.8674698795180723,0.96,0.9113924050632911,0.9920777777777778,0.9561509724475793
qpp_2q_lambda12_L2,lambda12,qpp_qnn2,2,2,4500,1500,0.931637519872814,0.5076415014376364,0.968,0.8865030674846626,0.9633333333333334,0.9233226837060703,0.9916722222222223,0.9448444239774081
