Method,Input,Precision,Recall,F1,PR-AUC
Harris,image,0.16521739130434782,0.95,0.28148148148148144,0.8952916090107383
FAST,image,0.07885906040268456,0.7833333333333333,0.14329268292682926,0.7924621926652919
ORB,image,0.0411522633744856,1.0,0.07905138339920949,0.7758923680151959
MLP,same features,0.9347079037800687,0.9066666666666666,0.9204737732656514,0.9748902785107153
QNN,same features,0.5238095238095238,0.6875,0.5945945945945946,0.4671653487021768
