name,model_name,feature_set,n_qubits,layers,train_samples,test_samples,val_f1,threshold,precision,recall,f1,roc_auc,pr_auc,phase_mapping
fixed_scalar_c4,qpp_qnn1,scalar_c4,1,2,4500,1500,0.9272151898734177,0.6453813732893802,0.8678678678678678,0.9633333333333334,0.9131121642969984,0.9927722222222223,0.9681311820656927,fixed scalarizer
learnable_scalarizer_logS_eta,qpp_qnn1_learnable,logS_eta,1,2,4500,1500,0.9240506329113924,0.4684331618769,0.8708708708708709,0.9666666666666667,0.9162717219589257,0.9897305555555556,0.946786177759324,learnable scalarizer
log_eigenvalue_encoding,qpp_qnn2,log_lambda12,2,2,4500,1500,0.9265175718849841,0.754936571145233,0.8837920489296636,0.9633333333333334,0.9218500797448166,0.9924055555555555,0.9657658788885102,log eigenvalue encoding
symmetry_preserving_logS_eta,qpp_qnn2,logS_eta,2,2,4500,1500,0.922824302134647,0.833509665782596,0.8984126984126984,0.9433333333333334,0.9203252032520325,0.9920305555555555,0.9588215177385286,symmetry-preserving
interleaved_phase_logS_eta,qpp_qnn1_interleaved,logS_eta,1,2,4500,1500,0.8670120898100173,0.606683982198077,0.9078498293515358,0.8866666666666667,0.897133220910624,0.9806083333333333,0.9177393983406564,junction interleaved phase
